#Wort #Wortart #Person #Numerus #Genus #Modus #Tempus #Kasus #In/Finit #Name #Satzglied #Satzteil
kneife Verb erste singular - indikativ präsens - finit nein kA kA
kneifst Verb zweite singular - indikativ präsens - finit nein kA kA
kneift Verb dritte singular - indikativ präsens - finit nein kA kA
kneifen Verb erste plural - indikativ präsens - finit nein kA kA
-kneift Verb zweite plural - indikativ präsens - finit nein kA kA
-kneifen Verb dritte plural - indikativ präsens - finit nein kA kA
komme Verb erste singular - indikativ präsens - finit nein kA kA
kommst Verb zweite singular - indikativ präsens - finit nein kA kA
kommt Verb dritte singular - indikativ präsens - finit nein kA kA
kommen Verb erste plural - indikativ präsens - finit nein kA kA
-kommt Verb zweite plural - indikativ präsens - finit nein kA kA
-kommen Verb dritte plural - indikativ präsens - finit nein kA kA
kann Verb erste singular - indikativ präsens - finit nein kA kA
kannst Verb zweite singular - indikativ präsens - finit nein kA kA
kann Verb dritte singular - indikativ präsens - finit nein kA kA
können Verb erste plural - indikativ präsens - finit nein kA kA
könnt Verb zweite plural - indikativ präsens - finit nein kA kA
-können Verb dritte plural - indikativ präsens - finit nein kA kA
krieche Verb erste singular - indikativ präsens - finit nein kA kA
kriechst Verb zweite singular - indikativ präsens - finit nein kA kA
kriecht Verb dritte singular - indikativ präsens - finit nein kA kA
kriechen Verb erste plural - indikativ präsens - finit nein kA kA
-kriecht Verb zweite plural - indikativ präsens - finit nein kA kA
-kriechen Verb dritte plural - indikativ präsens - finit nein kA kA
lade Verb erste singular - indikativ präsens - finit nein kA kA
lädst Verb zweite singular - indikativ präsens - finit nein kA kA
lädt Verb dritte singular - indikativ präsens - finit nein kA kA
laden Verb erste plural - indikativ präsens - finit nein kA kA
-lädt Verb zweite plural - indikativ präsens - finit nein kA kA
-laden Verb dritte plural - indikativ präsens - finit nein kA kA
lasse Verb erste singular - indikativ präsens - finit nein kA kA
-lässt Verb zweite singular - indikativ präsens - finit nein kA kA
lässt Verb dritte singular - indikativ präsens - finit nein kA kA
lassen Verb erste plural - indikativ präsens - finit nein kA kA
-lässt Verb zweite plural - indikativ präsens - finit nein kA kA
-lassen Verb dritte plural - indikativ präsens - finit nein kA kA
laufe Verb erste singular - indikativ präsens - finit nein kA kA
läufst Verb zweite singular - indikativ präsens - finit nein kA kA
läuft Verb dritte singular - indikativ präsens - finit nein kA kA
laufen Verb erste plural - indikativ präsens - finit nein kA kA
-läuft Verb zweite plural - indikativ präsens - finit nein kA kA
-laufen Verb dritte plural - indikativ präsens - finit nein kA kA
leide Verb erste singular - indikativ präsens - finit nein kA kA
leidest Verb zweite singular - indikativ präsens - finit nein kA kA
leidet Verb dritte singular - indikativ präsens - finit nein kA kA
leiden Verb erste plural - indikativ präsens - finit nein kA kA
-leidet Verb zweite plural - indikativ präsens - finit nein kA kA
-leiden Verb dritte plural - indikativ präsens - finit nein kA kA
leihe Verb erste singular - indikativ präsens - finit nein kA kA
leihst Verb zweite singular - indikativ präsens - finit nein kA kA
leiht Verb dritte singular - indikativ präsens - finit nein kA kA
leihen Verb erste plural - indikativ präsens - finit nein kA kA
-leiht Verb zweite plural - indikativ präsens - finit nein kA kA
-leihen Verb dritte plural - indikativ präsens - finit nein kA kA
lese Verb erste singular - indikativ präsens - finit nein kA kA
-liest Verb zweite singular - indikativ präsens - finit nein kA kA
liest Verb dritte singular - indikativ präsens - finit nein kA kA
lesen Verb erste plural - indikativ präsens - finit nein kA kA
lest Verb zweite plural - indikativ präsens - finit nein kA kA
-lesen Verb dritte plural - indikativ präsens - finit nein kA kA
liegen Verb erste singular - indikativ präsens - finit nein kA kA
liegst Verb zweite singular - indikativ präsens - finit nein kA kA
liegt Verb dritte singular - indikativ präsens - finit nein kA kA
liegen Verb erste plural - indikativ präsens - finit nein kA kA
-liegt Verb zweite plural - indikativ präsens - finit nein kA kA
-liegen Verb dritte plural - indikativ präsens - finit nein kA kA
lüge Verb erste singular - indikativ präsens - finit nein kA kA
lügst Verb zweite singular - indikativ präsens - finit nein kA kA
lügt Verb dritte singular - indikativ präsens - finit nein kA kA
lügen Verb erste plural - indikativ präsens - finit nein kA kA
-lügt Verb zweite plural - indikativ präsens - finit nein kA kA
-lügen Verb dritte plural - indikativ präsens - finit nein kA kA
meide Verb erste singular - indikativ präsens - finit nein kA kA
meidest Verb zweite singular - indikativ präsens - finit nein kA kA
meidet Verb dritte singular - indikativ präsens - finit nein kA kA
meiden Verb erste plural - indikativ präsens - finit nein kA kA
-meidet Verb zweite plural - indikativ präsens - finit nein kA kA
-meiden Verb dritte plural - indikativ präsens - finit nein kA kA
messe Verb erste singular - indikativ präsens - finit nein kA kA
-misst Verb zweite singular - indikativ präsens - finit nein kA kA
misst Verb dritte singular - indikativ präsens - finit nein kA kA
messen Verb erste plural - indikativ präsens - finit nein kA kA
-misst Verb zweite plural - indikativ präsens - finit nein kA kA
-messen Verb dritte plural - indikativ präsens - finit nein kA kA
misslinge Verb erste singular - indikativ präsens - finit nein kA kA
misslingst Verb zweite singular - indikativ präsens - finit nein kA kA
misslingt Verb dritte singular - indikativ präsens - finit nein kA kA
misslingen Verb erste plural - indikativ präsens - finit nein kA kA
-misslingt Verb zweite plural - indikativ präsens - finit nein kA kA
-misslingen Verb dritte plural - indikativ präsens - finit nein kA kA
-mag Verb erste singular - indikativ präsens - finit nein kA kA
magst Verb zweite singular - indikativ präsens - finit nein kA kA
mag Verb dritte singular - indikativ präsens - finit nein kA kA
mögen Verb erste plural - indikativ präsens - finit nein kA kA
mögt Verb zweite plural - indikativ präsens - finit nein kA kA
-mögen Verb dritte plural - indikativ präsens - finit nein kA kA
-muss Verb erste singular - indikativ präsens - finit nein kA kA
musst Verb zweite singular - indikativ präsens - finit nein kA kA
muss Verb dritte singular - indikativ präsens - finit nein kA kA
müssen Verb erste plural - indikativ präsens - finit nein kA kA
müsst Verb zweite plural - indikativ präsens - finit nein kA kA
-müssen Verb dritte plural - indikativ präsens - finit nein kA kA
nehme Verb erste singular - indikativ präsens - finit nein kA kA
nimmst Verb zweite singular - indikativ präsens - finit nein kA kA
nimmt Verb dritte singular - indikativ präsens - finit nein kA kA
nehmen Verb erste plural - indikativ präsens - finit nein kA kA
-nimmt Verb zweite plural - indikativ präsens - finit nein kA kA
-nehmen Verb dritte plural - indikativ präsens - finit nein kA kA
nenne Verb erste singular - indikativ präsens - finit nein kA kA
nennst Verb zweite singular - indikativ präsens - finit nein kA kA
nennt Verb dritte singular - indikativ präsens - finit nein kA kA
nennen Verb erste plural - indikativ präsens - finit nein kA kA
-nennt Verb zweite plural - indikativ präsens - finit nein kA kA
-nennen Verb dritte plural - indikativ präsens - finit nein kA kA
pfeife Verb erste singular - indikativ präsens - finit nein kA kA
pfeifst Verb zweite singular - indikativ präsens - finit nein kA kA
pfeift Verb dritte singular - indikativ präsens - finit nein kA kA
pfeifen Verb erste plural - indikativ präsens - finit nein kA kA
-pfeift Verb zweite plural - indikativ präsens - finit nein kA kA
-pfeifen Verb dritte plural - indikativ präsens - finit nein kA kA
preise Verb erste singular - indikativ präsens - finit nein kA kA
-preist Verb zweite singular - indikativ präsens - finit nein kA kA
preist Verb dritte singular - indikativ präsens - finit nein kA kA
preisen Verb erste plural - indikativ präsens - finit nein kA kA
-preist Verb zweite plural - indikativ präsens - finit nein kA kA
-preisen Verb dritte plural - indikativ präsens - finit nein kA kA
quelle Verb erste singular - indikativ präsens - finit nein kA kA
quillst Verb zweite singular - indikativ präsens - finit nein kA kA
quillt Verb dritte singular - indikativ präsens - finit nein kA kA
quellen Verb erste plural - indikativ präsens - finit nein kA kA
-quillt Verb zweite plural - indikativ präsens - finit nein kA kA
-quellen Verb dritte plural - indikativ präsens - finit nein kA kA
rate Verb erste singular - indikativ präsens - finit nein kA kA
rätst Verb zweite singular - indikativ präsens - finit nein kA kA
rät Verb dritte singular - indikativ präsens - finit nein kA kA
raten Verb erste plural - indikativ präsens - finit nein kA kA
-rät Verb zweite plural - indikativ präsens - finit nein kA kA
-raten Verb dritte plural - indikativ präsens - finit nein kA kA
reibe Verb erste singular - indikativ präsens - finit nein kA kA
reibst Verb zweite singular - indikativ präsens - finit nein kA kA
reibt Verb dritte singular - indikativ präsens - finit nein kA kA
reiben Verb erste plural - indikativ präsens - finit nein kA kA
-reibt Verb zweite plural - indikativ präsens - finit nein kA kA
-reiben Verb dritte plural - indikativ präsens - finit nein kA kA
reiße Verb erste singular - indikativ präsens - finit nein kA kA
-reißt Verb zweite singular - indikativ präsens - finit nein kA kA
reißt Verb dritte singular - indikativ präsens - finit nein kA kA
reißen Verb erste plural - indikativ präsens - finit nein kA kA
-reißt Verb zweite plural - indikativ präsens - finit nein kA kA
-reißen Verb dritte plural - indikativ präsens - finit nein kA kA
reite Verb erste singular - indikativ präsens - finit nein kA kA
reitest Verb zweite singular - indikativ präsens - finit nein kA kA
reitet Verb dritte singular - indikativ präsens - finit nein kA kA
reiten Verb erste plural - indikativ präsens - finit nein kA kA
-reitet Verb zweite plural - indikativ präsens - finit nein kA kA
-reiten Verb dritte plural - indikativ präsens - finit nein kA kA
renne Verb erste singular - indikativ präsens - finit nein kA kA
rennst Verb zweite singular - indikativ präsens - finit nein kA kA
rennt Verb dritte singular - indikativ präsens - finit nein kA kA
rennen Verb erste plural - indikativ präsens - finit nein kA kA
-rennt Verb zweite plural - indikativ präsens - finit nein kA kA
-rennen Verb dritte plural - indikativ präsens - finit nein kA kA
rieche Verb erste singular - indikativ präsens - finit nein kA kA
riechst Verb zweite singular - indikativ präsens - finit nein kA kA
riecht Verb dritte singular - indikativ präsens - finit nein kA kA
riechen Verb erste plural - indikativ präsens - finit nein kA kA
-reecht Verb zweite plural - indikativ präsens - finit nein kA kA
-reechen Verb dritte plural - indikativ präsens - finit nein kA kA
ringe Verb erste singular - indikativ präsens - finit nein kA kA
ringst Verb zweite singular - indikativ präsens - finit nein kA kA
ringt Verb dritte singular - indikativ präsens - finit nein kA kA
ringen Verb erste plural - indikativ präsens - finit nein kA kA
-ringt Verb zweite plural - indikativ präsens - finit nein kA kA
-ringen Verb dritte plural - indikativ präsens - finit nein kA kA
rinne Verb erste singular - indikativ präsens - finit nein kA kA
rinnst Verb zweite singular - indikativ präsens - finit nein kA kA
rinnt Verb dritte singular - indikativ präsens - finit nein kA kA
rinnen Verb erste plural - indikativ präsens - finit nein kA kA
-rinnt Verb zweite plural - indikativ präsens - finit nein kA kA
-rinnen Verb dritte plural - indikativ präsens - finit nein kA kA
rufe Verb erste singular - indikativ präsens - finit nein kA kA
rufst Verb zweite singular - indikativ präsens - finit nein kA kA
ruft Verb dritte singular - indikativ präsens - finit nein kA kA
rufen Verb erste plural - indikativ präsens - finit nein kA kA
-ruft Verb zweite plural - indikativ präsens - finit nein kA kA
-rufen Verb dritte plural - indikativ präsens - finit nein kA kA
saufe Verb erste singular - indikativ präsens - finit nein kA kA
säufst Verb zweite singular - indikativ präsens - finit nein kA kA
säuft Verb dritte singular - indikativ präsens - finit nein kA kA
saufen Verb erste plural - indikativ präsens - finit nein kA kA
-säuft Verb zweite plural - indikativ präsens - finit nein kA kA
-saufen Verb dritte plural - indikativ präsens - finit nein kA kA
schaffe Verb erste singular - indikativ präsens - finit nein kA kA
schaffst Verb zweite singular - indikativ präsens - finit nein kA kA
schafft Verb dritte singular - indikativ präsens - finit nein kA kA
schaffen Verb erste plural - indikativ präsens - finit nein kA kA
-schafft Verb zweite plural - indikativ präsens - finit nein kA kA
-schaffen Verb dritte plural - indikativ präsens - finit nein kA kA
scheide Verb erste singular - indikativ präsens - finit nein kA kA
scheidest Verb zweite singular - indikativ präsens - finit nein kA kA
scheidet Verb dritte singular - indikativ präsens - finit nein kA kA
scheiden Verb erste plural - indikativ präsens - finit nein kA kA
-scheidet Verb zweite plural - indikativ präsens - finit nein kA kA
-scheiden Verb dritte plural - indikativ präsens - finit nein kA kA
scheine Verb erste singular - indikativ präsens - finit nein kA kA
scheinst Verb zweite singular - indikativ präsens - finit nein kA kA
scheint Verb dritte singular - indikativ präsens - finit nein kA kA
scheinen Verb erste plural - indikativ präsens - finit nein kA kA
-scheint Verb zweite plural - indikativ präsens - finit nein kA kA
-scheinen Verb dritte plural - indikativ präsens - finit nein kA kA
schelte Verb erste singular - indikativ präsens - finit nein kA kA
scheltest Verb zweite singular - indikativ präsens - finit nein kA kA
scheltet Verb dritte singular - indikativ präsens - finit nein kA kA
schelten Verb erste plural - indikativ präsens - finit nein kA kA
-scheltet Verb zweite plural - indikativ präsens - finit nein kA kA
-schelten Verb dritte plural - indikativ präsens - finit nein kA kA
schere Verb erste singular - indikativ präsens - finit nein kA kA
scherst Verb zweite singular - indikativ präsens - finit nein kA kA
schert Verb dritte singular - indikativ präsens - finit nein kA kA
scheren Verb erste plural - indikativ präsens - finit nein kA kA
-schert Verb zweite plural - indikativ präsens - finit nein kA kA
-scheren Verb dritte plural - indikativ präsens - finit nein kA kA
schiebe Verb erste singular - indikativ präsens - finit nein kA kA
schiebst Verb zweite singular - indikativ präsens - finit nein kA kA
schiebt Verb dritte singular - indikativ präsens - finit nein kA kA
schieben Verb erste plural - indikativ präsens - finit nein kA kA
-schiebt Verb zweite plural - indikativ präsens - finit nein kA kA
-schieben Verb dritte plural - indikativ präsens - finit nein kA kA
schieße Verb erste singular - indikativ präsens - finit nein kA kA
-schießt Verb zweite singular - indikativ präsens - finit nein kA kA
schießt Verb dritte singular - indikativ präsens - finit nein kA kA
schießen Verb erste plural - indikativ präsens - finit nein kA kA
-schießt Verb zweite plural - indikativ präsens - finit nein kA kA
-schießen Verb dritte plural - indikativ präsens - finit nein kA kA
schinde Verb erste singular - indikativ präsens - finit nein kA kA
schindest Verb zweite singular - indikativ präsens - finit nein kA kA
schindet Verb dritte singular - indikativ präsens - finit nein kA kA
schinden Verb erste plural - indikativ präsens - finit nein kA kA
-schindet Verb zweite plural - indikativ präsens - finit nein kA kA
-schinden Verb dritte plural - indikativ präsens - finit nein kA kA
schlafe Verb erste singular - indikativ präsens - finit nein kA kA
schläfst Verb zweite singular - indikativ präsens - finit nein kA kA
schläft Verb dritte singular - indikativ präsens - finit nein kA kA
schlafen Verb erste plural - indikativ präsens - finit nein kA kA
-schläft Verb zweite plural - indikativ präsens - finit nein kA kA
-schlafen Verb dritte plural - indikativ präsens - finit nein kA kA
schlage Verb erste singular - indikativ präsens - finit nein kA kA
schlägst Verb zweite singular - indikativ präsens - finit nein kA kA
schlägt Verb dritte singular - indikativ präsens - finit nein kA kA
schlagen Verb erste plural - indikativ präsens - finit nein kA kA
-schlägt Verb zweite plural - indikativ präsens - finit nein kA kA
-schlagen Verb dritte plural - indikativ präsens - finit nein kA kA
schleiche Verb erste singular - indikativ präsens - finit nein kA kA
schleichst Verb zweite singular - indikativ präsens - finit nein kA kA
schleicht Verb dritte singular - indikativ präsens - finit nein kA kA
schleichen Verb erste plural - indikativ präsens - finit nein kA kA
-schleicht Verb zweite plural - indikativ präsens - finit nein kA kA
-schleichen Verb dritte plural - indikativ präsens - finit nein kA kA
schleife Verb erste singular - indikativ präsens - finit nein kA kA
schleifst Verb zweite singular - indikativ präsens - finit nein kA kA
schleift Verb dritte singular - indikativ präsens - finit nein kA kA
schleifen Verb erste plural - indikativ präsens - finit nein kA kA
-schleift Verb zweite plural - indikativ präsens - finit nein kA kA
-schleifen Verb dritte plural - indikativ präsens - finit nein kA kA
schließe Verb erste singular - indikativ präsens - finit nein kA kA
-schließt Verb zweite singular - indikativ präsens - finit nein kA kA
schließt Verb dritte singular - indikativ präsens - finit nein kA kA
schließen Verb erste plural - indikativ präsens - finit nein kA kA
-schließt Verb zweite plural - indikativ präsens - finit nein kA kA
-schließen Verb dritte plural - indikativ präsens - finit nein kA kA
schlinge Verb erste singular - indikativ präsens - finit nein kA kA
schlingst Verb zweite singular - indikativ präsens - finit nein kA kA
schlingt Verb dritte singular - indikativ präsens - finit nein kA kA
schlingen Verb erste plural - indikativ präsens - finit nein kA kA
-schlingt Verb zweite plural - indikativ präsens - finit nein kA kA
-schlingen Verb dritte plural - indikativ präsens - finit nein kA kA
schmeiße Verb erste singular - indikativ präsens - finit nein kA kA
-schmeißt Verb zweite singular - indikativ präsens - finit nein kA kA
schmeißt Verb dritte singular - indikativ präsens - finit nein kA kA
schmeißen Verb erste plural - indikativ präsens - finit nein kA kA
-schmeißt Verb zweite plural - indikativ präsens - finit nein kA kA
-schmeißen Verb dritte plural - indikativ präsens - finit nein kA kA
schmelze Verb erste singular - indikativ präsens - finit nein kA kA
-schmilzt Verb zweite singular - indikativ präsens - finit nein kA kA
schmilzt Verb dritte singular - indikativ präsens - finit nein kA kA
schmelzen Verb erste plural - indikativ präsens - finit nein kA kA
-schmilzt Verb zweite plural - indikativ präsens - finit nein kA kA
-schmelzen Verb dritte plural - indikativ präsens - finit nein kA kA
schneide Verb erste singular - indikativ präsens - finit nein kA kA
schneidest Verb zweite singular - indikativ präsens - finit nein kA kA
schneidet Verb dritte singular - indikativ präsens - finit nein kA kA
schneiden Verb erste plural - indikativ präsens - finit nein kA kA
-schneidet Verb zweite plural - indikativ präsens - finit nein kA kA
-schndeiden Verb dritte plural - indikativ präsens - finit nein kA kA
schreibe Verb erste singular - indikativ präsens - finit nein kA kA
schreibst Verb zweite singular - indikativ präsens - finit nein kA kA
schreibt Verb dritte singular - indikativ präsens - finit nein kA kA
schreiben Verb erste plural - indikativ präsens - finit nein kA kA
-schreibt Verb zweite plural - indikativ präsens - finit nein kA kA
-schreiben Verb dritte plural - indikativ präsens - finit nein kA kA
schreie Verb erste singular - indikativ präsens - finit nein kA kA
schreist Verb zweite singular - indikativ präsens - finit nein kA kA
schreit Verb dritte singular - indikativ präsens - finit nein kA kA
schreien Verb erste plural - indikativ präsens - finit nein kA kA
-schreit Verb zweite plural - indikativ präsens - finit nein kA kA
-schreien Verb dritte plural - indikativ präsens - finit nein kA kA
schreite Verb erste singular - indikativ präsens - finit nein kA kA
schreitest Verb zweite singular - indikativ präsens - finit nein kA kA
schreitet Verb dritte singular - indikativ präsens - finit nein kA kA
schreiten Verb erste plural - indikativ präsens - finit nein kA kA
-schreitet Verb zweite plural - indikativ präsens - finit nein kA kA
-schreiten Verb dritte plural - indikativ präsens - finit nein kA kA
schweige Verb erste singular - indikativ präsens - finit nein kA kA
schweigst Verb zweite singular - indikativ präsens - finit nein kA kA
schweigt Verb dritte singular - indikativ präsens - finit nein kA kA
schweigen Verb erste plural - indikativ präsens - finit nein kA kA
-schweigt Verb zweite plural - indikativ präsens - finit nein kA kA
-schweigen Verb dritte plural - indikativ präsens - finit nein kA kA
schwelle Verb erste singular - indikativ präsens - finit nein kA kA
schwillst Verb zweite singular - indikativ präsens - finit nein kA kA
schwillt Verb dritte singular - indikativ präsens - finit nein kA kA
schwellen Verb erste plural - indikativ präsens - finit nein kA kA
-schwillt Verb zweite plural - indikativ präsens - finit nein kA kA
-schwellen Verb dritte plural - indikativ präsens - finit nein kA kA
schwimme Verb erste singular - indikativ präsens - finit nein kA kA
schwimmst Verb zweite singular - indikativ präsens - finit nein kA kA
schwimmt Verb dritte singular - indikativ präsens - finit nein kA kA
schwimmen Verb erste plural - indikativ präsens - finit nein kA kA
-schwimmt Verb zweite plural - indikativ präsens - finit nein kA kA
-schwimmen Verb dritte plural - indikativ präsens - finit nein kA kA
schwinde Verb erste singular - indikativ präsens - finit nein kA kA
schwindest Verb zweite singular - indikativ präsens - finit nein kA kA
schwindet Verb dritte singular - indikativ präsens - finit nein kA kA
schwinden Verb erste plural - indikativ präsens - finit nein kA kA
-schwindet Verb zweite plural - indikativ präsens - finit nein kA kA
-schwinden Verb dritte plural - indikativ präsens - finit nein kA kA
schwinge Verb erste singular - indikativ präsens - finit nein kA kA
schwingst Verb zweite singular - indikativ präsens - finit nein kA kA
schwingt Verb dritte singular - indikativ präsens - finit nein kA kA
schwingen Verb erste plural - indikativ präsens - finit nein kA kA
-schwingt Verb zweite plural - indikativ präsens - finit nein kA kA
-schwingen Verb dritte plural - indikativ präsens - finit nein kA kA
schwöre Verb erste singular - indikativ präsens - finit nein kA kA
schwörst Verb zweite singular - indikativ präsens - finit nein kA kA
schwört Verb dritte singular - indikativ präsens - finit nein kA kA
schwören Verb erste plural - indikativ präsens - finit nein kA kA
-schwört Verb zweite plural - indikativ präsens - finit nein kA kA
-schwören Verb dritte plural - indikativ präsens - finit nein kA kA
sehe Verb erste singular - indikativ präsens - finit nein kA kA
siehst Verb zweite singular - indikativ präsens - finit nein kA kA
sieht Verb dritte singular - indikativ präsens - finit nein kA kA
sehen Verb erste plural - indikativ präsens - finit nein kA kA
-sieht Verb zweite plural - indikativ präsens - finit nein kA kA
-sehen Verb dritte plural - indikativ präsens - finit nein kA kA
bin Verb erste singular - indikativ präsens - finit nein kA kA
bist Verb zweite singular - indikativ präsens - finit nein kA kA
ist Verb dritte singular - indikativ präsens - finit nein kA kA
sind Verb erste plural - indikativ präsens - finit nein kA kA
seid Verb zweite plural - indikativ präsens - finit nein kA kA
-sind Verb dritte plural - indikativ präsens - finit nein kA kA
singe Verb erste singular - indikativ präsens - finit nein kA kA
singst Verb zweite singular - indikativ präsens - finit nein kA kA
singt Verb dritte singular - indikativ präsens - finit nein kA kA
singen Verb erste plural - indikativ präsens - finit nein kA kA
-singt Verb zweite plural - indikativ präsens - finit nein kA kA
-singen Verb dritte plural - indikativ präsens - finit nein kA kA
sinke Verb erste singular - indikativ präsens - finit nein kA kA
sinkst Verb zweite singular - indikativ präsens - finit nein kA kA
sinkt Verb dritte singular - indikativ präsens - finit nein kA kA
sinken Verb erste plural - indikativ präsens - finit nein kA kA
-sinkt Verb zweite plural - indikativ präsens - finit nein kA kA
-sinken Verb dritte plural - indikativ präsens - finit nein kA kA
sinne Verb erste singular - indikativ präsens - finit nein kA kA
sinnst Verb zweite singular - indikativ präsens - finit nein kA kA
sinnt Verb dritte singular - indikativ präsens - finit nein kA kA
sinnen Verb erste plural - indikativ präsens - finit nein kA kA
-sinnt Verb zweite plural - indikativ präsens - finit nein kA kA
-sinnen Verb dritte plural - indikativ präsens - finit nein kA kA
sitze Verb erste singular - indikativ präsens - finit nein kA kA
sitzst Verb zweite singular - indikativ präsens - finit nein kA kA
sitzt Verb dritte singular - indikativ präsens - finit nein kA kA
sitzen Verb erste plural - indikativ präsens - finit nein kA kA
-sitzt Verb zweite plural - indikativ präsens - finit nein kA kA
-sitzen Verb dritte plural - indikativ präsens - finit nein kA kA
-soll Verb erste singular - indikativ präsens - finit nein kA kA
sollst Verb zweite singular - indikativ präsens - finit nein kA kA
soll Verb dritte singular - indikativ präsens - finit nein kA kA
sollen Verb erste plural - indikativ präsens - finit nein kA kA
sollt Verb zweite plural - indikativ präsens - finit nein kA kA
-sollen Verb dritte plural - indikativ präsens - finit nein kA kA
speie Verb erste singular - indikativ präsens - finit nein kA kA
speist Verb zweite singular - indikativ präsens - finit nein kA kA
speit Verb dritte singular - indikativ präsens - finit nein kA kA
speien Verb erste plural - indikativ präsens - finit nein kA kA
-speit Verb zweite plural - indikativ präsens - finit nein kA kA
-speien Verb dritte plural - indikativ präsens - finit nein kA kA
spinne Verb erste singular - indikativ präsens - finit nein kA kA
spinnst Verb zweite singular - indikativ präsens - finit nein kA kA
spinnt Verb dritte singular - indikativ präsens - finit nein kA kA
spinnen Verb erste plural - indikativ präsens - finit nein kA kA
-spinnt Verb zweite plural - indikativ präsens - finit nein kA kA
-spinnen Verb dritte plural - indikativ präsens - finit nein kA kA
spreche Verb erste singular - indikativ präsens - finit nein kA kA
sprichst Verb zweite singular - indikativ präsens - finit nein kA kA
spricht Verb dritte singular - indikativ präsens - finit nein kA kA
sprechen Verb erste plural - indikativ präsens - finit nein kA kA
-spricht Verb zweite plural - indikativ präsens - finit nein kA kA
-sprechen Verb dritte plural - indikativ präsens - finit nein kA kA
sprieße Verb erste singular - indikativ präsens - finit nein kA kA
-sprießt Verb zweite singular - indikativ präsens - finit nein kA kA
sprießt Verb dritte singular - indikativ präsens - finit nein kA kA
sprießen Verb erste plural - indikativ präsens - finit nein kA kA
-sprießt Verb zweite plural - indikativ präsens - finit nein kA kA
-sprießt Verb dritte plural - indikativ präsens - finit nein kA kA
springe Verb erste singular - indikativ präsens - finit nein kA kA
springst Verb zweite singular - indikativ präsens - finit nein kA kA
springt Verb dritte singular - indikativ präsens - finit nein kA kA
springen Verb erste plural - indikativ präsens - finit nein kA kA
-springt Verb zweite plural - indikativ präsens - finit nein kA kA
-springen Verb dritte plural - indikativ präsens - finit nein kA kA
steche Verb erste singular - indikativ präsens - finit nein kA kA
stichst Verb zweite singular - indikativ präsens - finit nein kA kA
sticht Verb dritte singular - indikativ präsens - finit nein kA kA
stechen Verb erste plural - indikativ präsens - finit nein kA kA
stecht Verb zweite plural - indikativ präsens - finit nein kA kA
-stechen Verb dritte plural - indikativ präsens - finit nein kA kA
stehe Verb erste singular - indikativ präsens - finit nein kA kA
stehst Verb zweite singular - indikativ präsens - finit nein kA kA
steht Verb dritte singular - indikativ präsens - finit nein kA kA
stehen Verb erste plural - indikativ präsens - finit nein kA kA
-steht Verb zweite plural - indikativ präsens - finit nein kA kA
-stehen Verb dritte plural - indikativ präsens - finit nein kA kA
stehle Verb erste singular - indikativ präsens - finit nein kA kA
stiehlst Verb zweite singular - indikativ präsens - finit nein kA kA
stiehlt Verb dritte singular - indikativ präsens - finit nein kA kA
stehlen Verb erste plural - indikativ präsens - finit nein kA kA
-stiehlt Verb zweite plural - indikativ präsens - finit nein kA kA
-stehlt Verb dritte plural - indikativ präsens - finit nein kA kA
steige Verb erste singular - indikativ präsens - finit nein kA kA
steigst Verb zweite singular - indikativ präsens - finit nein kA kA
steigt Verb dritte singular - indikativ präsens - finit nein kA kA
steigen Verb erste plural - indikativ präsens - finit nein kA kA
-steigt Verb zweite plural - indikativ präsens - finit nein kA kA
-steigen Verb dritte plural - indikativ präsens - finit nein kA kA
sterbe Verb erste singular - indikativ präsens - finit nein kA kA
stirbst Verb zweite singular - indikativ präsens - finit nein kA kA
stirbt Verb dritte singular - indikativ präsens - finit nein kA kA
sterben Verb erste plural - indikativ präsens - finit nein kA kA
-stirbt Verb zweite plural - indikativ präsens - finit nein kA kA
-sterben Verb dritte plural - indikativ präsens - finit nein kA kA
streiche Verb erste singular - indikativ präsens - finit nein kA kA
streichst Verb zweite singular - indikativ präsens - finit nein kA kA
streicht Verb dritte singular - indikativ präsens - finit nein kA kA
streichen Verb erste plural - indikativ präsens - finit nein kA kA
-streicht Verb zweite plural - indikativ präsens - finit nein kA kA
-streichen Verb dritte plural - indikativ präsens - finit nein kA kA
streite Verb erste singular - indikativ präsens - finit nein kA kA
streitest Verb zweite singular - indikativ präsens - finit nein kA kA
streitet Verb dritte singular - indikativ präsens - finit nein kA kA
streiten Verb erste plural - indikativ präsens - finit nein kA kA
-streitet Verb zweite plural - indikativ präsens - finit nein kA kA
-streiten Verb dritte plural - indikativ präsens - finit nein kA kA
trage Verb erste singular - indikativ präsens - finit nein kA kA
trägst Verb zweite singular - indikativ präsens - finit nein kA kA
trägt Verb dritte singular - indikativ präsens - finit nein kA kA
tragen Verb erste plural - indikativ präsens - finit nein kA kA
-trägt Verb zweite plural - indikativ präsens - finit nein kA kA
-tragen Verb dritte plural - indikativ präsens - finit nein kA kA
treffe Verb erste singular - indikativ präsens - finit nein kA kA
triffst Verb zweite singular - indikativ präsens - finit nein kA kA
trifft Verb dritte singular - indikativ präsens - finit nein kA kA
treffen Verb erste plural - indikativ präsens - finit nein kA kA
-trifft Verb zweite plural - indikativ präsens - finit nein kA kA
-treffen Verb dritte plural - indikativ präsens - finit nein kA kA
treibe Verb erste singular - indikativ präsens - finit nein kA kA
treibst Verb zweite singular - indikativ präsens - finit nein kA kA
